"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
1,6,3,65,12,2,25000,2,NA,2021,1
3,2,0,60,16,1,13,4,NA,2021,2
5,1,0,NA,NA,NA,NA,NA,NA,2021,3
2,2,2,NA,NA,NA,NA,NA,NA,2021,4
5,4,0,NA,14,2,NA,1,NA,2021,6
5,5,NA,33,17,2,NA,11,NA,2021,7
5,2,0,20,12,1,3500,2,NA,2021,8
3,2,1,NA,19,2,25000,1,NA,2021,9
1,0,0,76,13,1,NA,4,NA,2021,10
3,2,2,61,16,2,NA,1,NA,2021,12
1,1,2,37,11,1,25000,4,NA,2021,13
5,4,0,23,15,1,5500,9,NA,2021,14
1,3,0,71,16,2,NA,1,NA,2021,15
5,1,0,21,14,1,NA,1,NA,2021,16
1,3,2,75,18,1,13,2,NA,2021,17
5,0,0,20,14,2,1000,4,NA,2021,18
5,11,3,65,12,2,NA,1,NA,2021,19
1,4,0,56,14,2,NA,2,NA,2021,21
5,1,0,22,15,2,3500,4,NA,2021,22
5,0,0,33,17,2,25000,4,NA,2021,23
5,1,0,NA,16,1,NA,4,NA,2021,24
5,0,0,31,16,1,25000,4,NA,2021,25
1,3,3,55,16,2,NA,2,NA,2021,26
3,1,1,33,18,2,9000,1,NA,2021,27
1,2,0,37,14,1,25000,4,NA,2021,28
1,1,0,53,12,1,NA,3,NA,2021,29
1,1,0,43,20,2,25000,4,NA,2021,30
1,1,1,44,16,2,25000,1,NA,2021,31
5,8,0,32,12,1,17500,4,NA,2021,32
4,3,2,65,12,1,25000,2,NA,2021,35
1,2,0,30,16,2,25000,9,NA,2021,36
3,1,2,52,18,2,13,2,NA,2021,37
5,1,0,34,20,1,25000,4,NA,2021,38
3,2,3,53,16,1,25000,2,NA,2021,39
3,2,0,NA,12,2,25000,4,NA,2021,40
3,1,0,62,13,2,25000,1,NA,2021,41
3,2,0,62,8,2,22500,2,NA,2021,42
5,2,0,42,13,1,25000,4,NA,2021,43
1,2,1,NA,NA,NA,NA,NA,NA,2021,44
5,2,0,29,17,1,25000,4,NA,2021,45
1,0,2,53,16,2,NA,4,NA,2021,46
1,0,0,51,16,2,25000,3,NA,2021,47
5,1,0,24,16,2,12500,2,NA,2021,48
1,3,2,51,20,1,13,1,NA,2021,49
5,3,0,26,12,2,22500,2,NA,2021,50
5,7,0,37,17,1,25000,1,NA,2021,51
5,6,1,28,14,2,12500,4,NA,2021,52
5,4,4,30,14,1,25000,2,NA,2021,53
1,1,1,57,18,1,25000,4,NA,2021,54
1,2,2,45,16,1,25000,2,NA,2021,56
1,1,2,43,16,2,22500,2,NA,2021,57
5,2,1,31,13,2,25000,4,NA,2021,59
5,1,0,23,16,2,12500,2,NA,2021,60
3,1,1,64,14,2,25000,1,NA,2021,61
3,2,3,82,16,2,25000,4,NA,2021,62
3,5,3,NA,14,1,25000,4,NA,2021,63
1,8,3,58,3,1,22500,2,NA,2021,64
4,3,3,89,13,1,NA,2,NA,2021,65
1,2,1,51,14,1,25000,2,NA,2021,66
1,3,4,78,16,1,NA,1,NA,2021,67
5,1,0,NA,20,2,NA,1,NA,2021,68
1,7,4,NA,14,1,25000,1,NA,2021,69
1,7,2,NA,17,1,25000,2,NA,2021,70
3,3,1,42,17,2,NA,12,NA,2021,71
3,4,1,64,14,1,NA,2,NA,2021,72
4,0,0,51,15,2,NA,4,NA,2021,74
5,1,0,NA,16,2,NA,4,NA,2021,75
5,3,0,51,6,2,NA,11,NA,2021,76
3,4,0,50,14,1,25000,1,NA,2021,77
4,7,2,55,12,2,25000,2,NA,2021,78
1,6,3,57,14,1,25000,4,NA,2021,79
1,6,3,62,16,1,25000,2,NA,2021,80
1,10,1,62,12,2,NA,1,NA,2021,81
5,1,0,33,12,1,25000,4,NA,2021,82
1,6,1,72,12,2,NA,1,NA,2021,83
1,2,3,64,18,2,NA,1,NA,2021,84
3,0,2,42,16,1,22500,1,NA,2021,85
5,2,0,73,16,2,NA,2,NA,2021,86
5,2,0,49,16,1,NA,2,NA,2021,88
3,8,2,63,10,2,22500,1,NA,2021,89
5,2,0,32,18,2,5500,1,NA,2021,90
5,6,0,22,12,1,13,1,NA,2021,91
5,0,0,65,16,1,2000,2,NA,2021,92
1,8,3,71,16,2,3500,2,NA,2021,93
1,1,2,43,15,1,13,4,NA,2021,94
1,5,3,55,16,2,NA,2,NA,2021,95
1,2,1,33,12,2,12500,2,NA,2021,96
5,2,0,28,13,1,7500,4,NA,2021,97
2,15,0,62,14,2,NA,NA,NA,2021,98
4,4,7,55,15,2,25000,1,NA,2021,99
1,0,2,41,16,1,25000,10,NA,2021,100
3,1,0,66,14,1,22500,2,NA,2021,101
1,1,2,74,18,1,7500,3,NA,2021,102
1,1,2,NA,18,2,25000,1,NA,2021,103
1,2,3,51,17,1,25000,1,NA,2021,104
3,4,4,66,18,2,25000,1,NA,2021,105
1,2,6,70,13,1,25000,1,NA,2021,106
5,3,1,NA,18,2,25000,4,NA,2021,107
1,4,3,57,14,2,9000,1,NA,2021,108
1,12,NA,60,8,1,NA,2,NA,2021,109
1,0,4,41,16,1,25000,1,NA,2021,111
3,5,0,56,12,1,NA,4,NA,2021,113
2,3,3,46,14,2,25000,2,NA,2021,114
1,5,0,41,20,2,25000,2,NA,2021,115
5,0,0,22,15,2,NA,4,NA,2021,116
1,3,2,61,20,1,13,7,NA,2021,117
1,3,3,79,20,1,25000,4,NA,2021,118
1,5,4,38,18,1,25000,3,NA,2021,119
5,11,1,64,16,2,25000,1,NA,2021,120
1,3,2,68,20,1,NA,4,NA,2021,121
5,1,0,28,16,1,25000,4,NA,2021,122
5,2,0,33,18,1,25000,1,NA,2021,123
1,2,0,38,18,2,25000,4,NA,2021,124
5,1,0,32,18,2,25000,10,NA,2021,125
1,11,1,41,16,2,NA,10,NA,2021,126
1,7,3,54,13,2,25000,2,NA,2021,127
1,3,1,NA,13,NA,NA,2,NA,2021,128
2,5,4,71,16,2,NA,1,NA,2021,130
2,1,1,89,16,2,NA,1,NA,2021,131
4,5,1,63,13,2,22500,1,NA,2021,132
1,1,1,73,16,1,NA,4,NA,2021,135
1,5,4,38,16,2,NA,4,NA,2021,136
3,3,2,59,12,2,25000,1,NA,2021,137
1,3,3,56,12,2,25000,1,NA,2021,138
5,2,0,25,17,1,25000,4,NA,2021,139
5,1,0,28,16,2,5500,4,NA,2021,140
5,2,0,24,16,2,3500,4,NA,2021,142
1,2,2,37,19,1,13,2,NA,2021,143
1,1,3,40,18,2,13,2,NA,2021,144
1,3,1,61,18,2,25000,4,NA,2021,145
1,1,2,67,16,2,25000,3,NA,2021,146
5,1,0,25,16,2,25000,4,NA,2021,147
5,3,0,58,12,1,25000,1,NA,2021,148
1,3,1,84,16,2,NA,1,NA,2021,149
5,5,0,68,12,2,NA,2,NA,2021,150
5,4,0,63,11,2,25000,1,NA,2021,151
1,1,1,36,16,2,25000,2,NA,2021,152
1,2,2,67,14,1,25000,2,NA,2021,153
3,1,2,53,19,2,25000,4,NA,2021,154
1,9,0,60,16,2,NA,1,NA,2021,155
2,8,5,87,12,1,NA,2,NA,2021,156
1,2,0,74,20,2,NA,4,NA,2021,158
3,4,1,66,14,2,2000,4,NA,2021,159
1,2,2,46,16,2,25000,2,NA,2021,160
